Vendors,Description,Links,Category
Fairphone,"They design and produce smartphones with a focus on longevity and sustainability. They offer repair guides and spare parts, making it easy for users to repair their phones.",https://www.fairphone.com/en/,
iFixit,"This company provides repair guides and tools for a wide range of electronic devices, making it easy for users to repair their own products",https://www.ifixit.com/,
Patagonia,"They have a ""Worn Wear"" program where they repair and resell used clothing, reducing waste and promoting sustainability.",https://www.patagonia.com/,
Ten thousand villages,various homeade products sourced from small villages,https://www.tenthousandvillages.com/,
Grove Collaborative,various home cleaning products,https://www.grove.co/,
Seventh Generation,various home cleaning products,https://www.seventhgeneration.com/,
agood company,,https://agood.com/,
pela,,https://pelacase.com/,
Dr.Bronners,,https://www.drbronner.com/,
Preserve,,https://www.preserve.eco/,
Numi Organic tea,tea,https://numitea.com/,
Allbirds,,https://www.allbirds.com/,
Avacado,mattresses,https://www.avocadogreenmattress.com/,
Tablas Creek,,https://tablascreek.com/,
MUD Jeans,Jeans,https://mudjeans.eu/,
Toms,Shoes,https://www.toms.com/,
Beyond Meat,Meat,https://www.beyondmeat.com/en-US/,
Green Toys,toys from recycled plastic,https://www.greentoys.com/,
Pela Cases,phone cases,https://pelacase.com/,
Yes Straws,,https://yesstraws.com/,
"Nohbo, Inc.",dissolving personal care technologies(b corp certified),https://nohbo.com/,
Petaluma,dog care(b corp certified),www.feedpetaluma.com,
Aether Diamonds,Aether transforms air pollution into valuable goods and materials,https://aetherdiamonds.com/,
Great Lengths,hair extensions made of natural hair,www.greatlengths.com,
coconut bowls,"replacing single use plastics with all natural, sustainably sourced, eco friendly and regenerative products",www.coconutbowls.com,
Boody,,https://boody.com/,
BlueLand,Cleaning products,https://www.blueland.com/,